Time (s),Hammer force [N]
16.96827556,-0.222699573480176
16.968882349999998,-0.220062022202643
16.96948914,-0.221138573744493
16.97009593,-0.219523746431718
16.97070272,-0.218312625947137
16.971309509999998,-0.216859281365639
16.9719163,-0.218016574273128
16.97252309,-0.216105695286344
16.97312988,-0.216536315903084
16.973736669999997,-0.214463954185022
16.97434346,-0.214867661013216
16.97495025,-0.215217540264317
16.975557039999998,-0.212956782026432
16.976163829999997,-0.213844937048458
16.97677062,-0.211718747753304
16.97737741,-0.213683454317181
16.977984199999998,-0.211664920176211
16.978590989999997,-0.21045379969163
16.97919778,-0.209727127400881
16.97980457,-0.208489093127753
16.980411359999998,-0.207950817356828
16.981018149999997,-0.208193041453744
16.98162494,-0.207385627797357
16.98223173,-0.207251058854626
16.982838519999998,-0.207654765682819
16.98344531,-0.203779180132159
16.9840521,-0.20606685215859
16.98465889,-0.204478938634361
16.985265679999998,-0.203563869823789
16.98587247,-0.203833007709251
16.98647926,-0.2024065769163
16.98708605,-0.202487318281938
16.987692839999998,-0.201814473568282
16.98829963,-0.199795939427313
16.98890642,-0.202298921762115
16.98951321,-0.200280387621145
16.990119999999997,-0.199472973964758
16.99072679,-0.198692474096916
16.99133358,-0.197723577709251
16.99194037,-0.197346784669604
16.992547159999997,-0.19715838814978
16.99315395,-0.197212215726872
16.99376074,-0.194224785198238
16.994367529999998,-0.196889250264317
16.994974319999997,-0.195112940220264
16.99558111,-0.195274422951542
16.9961879,-0.193525026696035
16.996794689999998,-0.19320206123348
16.997401479999997,-0.193067492290749
16.99800827,-0.193578854273128
16.99861506,-0.192959837136564
16.999221849999998,-0.190672165110132
16.99982864,-0.189461044625551
17.00043543,-0.189138079162996
17.00104222,-0.188842027488987
17.001649009999998,-0.188088441409692
17.0022558,-0.18687732092511
17.00286259,-0.186984976079295
17.00346938,-0.186850407136564
17.004076169999998,-0.186608183039648
17.00468296,-0.185612372863436
17.00528975,-0.18580076938326
17.00589654,-0.184831872995595
17.006503329999997,-0.183647666299559
17.00711012,-0.182221235506608
17.00771691,-0.183459269779736
17.0083237,-0.182705683700441
17.008930489999997,-0.183405442202643
17.00953728,-0.182732597488987
17.01014407,-0.182167407929515
17.010750859999998,-0.183701493876652
17.011357649999997,-0.181952097621145
17.01196444,-0.181144683964758
17.01257123,-0.180579494405286
17.013178019999998,-0.179341460132159
17.013784809999997,-0.180633321982379
17.0143916,-0.17861478784141
17.01499839,-0.177995770704846
17.015605179999998,-0.178964667092511
17.01621197,-0.177995770704846
17.01681876,-0.176488598546256
17.01742555,-0.177107615682819
17.018032339999998,-0.177511322511013
17.01863913,-0.175573529735683
17.01924592,-0.176515512334802
17.01985271,-0.174577719559471
17.020459499999998,-0.173070547400881
17.02106629,-0.175277478061674
17.02167308,-0.174900685022026
17.02227987,-0.174281667885463
17.022886659999998,-0.175842667621145
17.02349345,-0.172586099207048
17.02410024,-0.176057977929515
17.02470703,-0.180202701365639
17.025313819999997,-0.170702134008811
17.02592061,-0.172182392378855
17.0265274,-0.171644116607929
17.027134189999998,-0.170379168546255
17.027740979999997,-0.171078927048458
17.02834777,-0.1700562030837
17.02895456,-0.171078927048458
17.029561349999998,-0.169787065198238
17.030168139999997,-0.168683599867841
17.03077493,-0.16704185876652
17.03138172,-0.168818168810573
17.031988509999998,-0.169275703215859
17.032595299999997,-0.170782875374449
17.03320209,-0.168602858502203
17.03380888,-0.16725716907489
17.034415669999998,-0.167230255286344
17.03502246,-0.166557410572687
17.03562925,-0.167876186211454
17.03623604,-0.166261358898678
17.036842829999998,-0.167014944977974
17.03744962,-0.167068772555066
17.03805641,-0.164646531585903
17.0386632,-0.165561600396476
17.039269989999998,-0.165050238414097
17.03987678,-0.16308553185022
17.04048357,-0.165373203876652
17.04109036,-0.164619617797357
17.041697149999997,-0.164619617797357
17.04230394,-0.163247014581498
17.04291073,-0.165615427973568
17.043517519999998,-0.162789480176211
17.044124309999997,-0.16114773907489
17.0447311,-0.160959342555066
17.04533789,-0.163004790484581
17.045944679999998,-0.162251204405286
17.046551469999997,-0.162251204405286
17.04715826,-0.162924049118943
17.04776505,-0.161955152731278
17.048371839999998,-0.16136304938326
17.048978629999997,-0.162035894096916
17.04958542,-0.161470704537445
17.05019221,-0.161066997709251
17.050798999999998,-0.16179367
17.05140579,-0.160690204669604
17.05201258,-0.160367239207048
17.05261937,-0.162197376828194
17.053226159999998,-0.159748222070485
17.05383295,-0.160905514977974
17.05443974,-0.162062807885463
17.05504653,-0.159156118722467
17.055653319999998,-0.158752411894273
17.05626011,-0.16071711845815
17.0568669,-0.1596405669163
