Time (s),Hammer force [N]
29.076163219999998,-0.498969612907489
29.076770009999997,-0.498431337136564
29.077376799999996,-0.496924164977974
29.07798359,-0.496062923744493
29.078590379999998,-0.494636492951542
29.079197169999997,-0.494501924008811
29.07980396,-0.49213351061674
29.08041075,-0.491595234845815
29.081017539999998,-0.488876942202643
29.081624329999997,-0.487854218237885
29.08223112,-0.487127545947137
29.08283791,-0.485324322114537
29.083444699999998,-0.483682581013216
29.084051489999997,-0.482498374317181
29.08465828,-0.482363805374449
29.08526507,-0.481341081409692
29.085871859999997,-0.478945754229075
29.086478649999997,-0.478434392246696
29.08708544,-0.478138340572687
29.08769223,-0.476711909779736
29.088299019999997,-0.476550427048458
29.088905809999996,-0.473697565462555
29.0895126,-0.474908685947137
29.090119389999998,-0.471625203744493
29.090726179999997,-0.470871617665198
29.091332969999996,-0.470602479779736
29.09193976,-0.468879997312775
29.092546549999998,-0.467803445770925
29.093153339999997,-0.467318997577092
29.093760129999996,-0.465596515110132
29.09436692,-0.465192808281938
29.094973709999998,-0.464519963568282
29.095580499999997,-0.462582170792951
29.09618729,-0.461478705462555
29.09679408,-0.461963153656388
29.097400869999998,-0.458787326607929
29.098007659999997,-0.457737688854625
29.09861445,-0.457683861277533
29.09922124,-0.455127051365639
29.099828029999998,-0.455746068502203
29.100434819999997,-0.45547693061674
29.10104161,-0.452920120704846
29.1016484,-0.450955414140969
29.102255189999997,-0.452381844933921
29.102861979999997,-0.450820845198238
29.10346877,-0.447887242246696
29.10407556,-0.448479345594714
29.104682349999997,-0.446945259647577
29.105289139999996,-0.447967983612335
29.10589593,-0.445707225374449
29.106502719999998,-0.445411173700441
29.107109509999997,-0.443769432599119
29.107716299999996,-0.442692881057269
29.10832309,-0.441293364052863
29.108929879999998,-0.440647433127753
29.109536669999997,-0.437740743964758
29.110143459999996,-0.436395054537445
29.11075025,-0.437982968061674
29.111357039999998,-0.436314313171806
29.111963829999997,-0.435614554669603
29.11257062,-0.434860968590308
29.11317741,-0.433461451585903
29.113784199999998,-0.432680951718062
29.114390989999997,-0.43039327969163
29.11499778,-0.432250331101322
29.11560457,-0.428105607665198
29.116211359999998,-0.428966848898678
29.116818149999997,-0.427163625066079
29.11742494,-0.428213262819383
29.11803173,-0.425898677004405
29.118638519999998,-0.423341867092511
29.119245309999997,-0.425494970176211
29.1198521,-0.422103832819383
29.12045889,-0.421646298414097
29.121065679999997,-0.421861608722467
29.121672469999996,-0.419789247004405
29.12227926,-0.419008747136564
29.122886049999998,-0.417017126784141
29.123492839999997,-0.415940575242291
29.124099629999996,-0.415456127048458
29.12470642,-0.416155885550661
29.125313209999998,-0.414379575506608
29.125919999999997,-0.413706730792952
29.126526789999996,-0.412226472422907
29.12713358,-0.411284489823789
29.127740369999998,-0.410369421013216
29.128347159999997,-0.407866438678414
29.128953949999996,-0.407974093832599
29.12956074,-0.405794076960352
29.130167529999998,-0.405363456343612
29.130774319999997,-0.405471111497797
29.13138111,-0.403075784317181
29.1319879,-0.403856284185022
29.132594689999998,-0.401918491409692
29.133201479999997,-0.401245646696035
29.13380827,-0.401487870792952
29.13441506,-0.397450802511013
29.135021849999998,-0.40092268123348
29.135628639999997,-0.398285129955947
29.13623543,-0.397423888722467
29.13684222,-0.395701406255507
29.137449009999997,-0.396266595814978
29.138055799999997,-0.395647578678414
29.13866259,-0.393898182422907
29.139269379999998,-0.393575216960352
29.139876169999997,-0.391933475859031
