Time (s),Hammer force [N]
0.0,0.0025688366519823
0.00060679,0.0018959919383259
0.00121358,0.0037530433480176
0.00182037,0.0036992157709251
0.00242716,0.0030532848458149
0.0030339499999999997,0.0022458711894273
0.00364074,0.0023804401321585
0.004247529999999999,0.0024073539207048
0.00485432,0.0013577161674008
0.00546111,0.0026226642290748
0.006067899999999999,0.0027034055947136
0.00667469,0.0029187159030836
0.00728148,0.0020843884581497
0.00788827,0.0039414398678414
0.008495059999999999,0.0026764918061673
0.00910185,0.0041029225991189
0.00970864,0.0027034055947136
0.010315429999999999,0.00359156061674
0.01092222,0.0025419228634361
0.01152901,0.0038876122907488
0.012135799999999999,0.0031071124229074
0.01274259,0.0037799571365638
0.01334938,0.0028648883259911
0.013956169999999999,0.002218957400881
0.01456296,0.0033493365198237
0.01516975,0.0037530433480176
0.01577654,0.0044528018502202
0.016383329999999998,0.0014653713215859
0.016990119999999997,0.0028918021145374
0.01759691,0.0031340262114537
0.0182037,0.0023535263436123
0.01881049,0.0028110607488986
0.01941728,0.0039952674449339
0.020024069999999998,0.0037530433480176
0.020630859999999997,0.0041298363876651
0.021237649999999997,0.0029456296916299
0.02184444,0.0053678706607929
0.02245123,0.0024880952863436
0.02305802,0.0043989742731277
0.023664809999999998,0.0041836639647577
0.024271599999999997,0.004748853524229
0.024878389999999997,0.002326612555066
0.02548518,0.00359156061674
0.02609197,0.0038606985022026
0.02669876,0.0038337847136563
0.027305549999999998,0.0022996987665198
0.027912339999999997,0.0035646468281938
0.028519129999999997,0.0030532848458149
0.02912592,0.0018152505726872
0.02973271,0.0029725434801762
0.0303395,0.0030801986343612
0.030946289999999998,0.0049103362555066
0.03155308,0.0032147675770925
0.03215987,0.0029994572687224
0.032766659999999996,0.0044528018502202
0.03337345,0.0041836639647577
0.033980239999999995,0.0029456296916299
0.03458703,0.0038337847136563
0.03519382,0.0049641638325991
0.03580061,0.0027841469603524
0.0364074,0.0044797156387665
0.037014189999999995,0.0039145260792951
0.03762098,0.004425888061674
0.038227769999999994,0.0044797156387665
0.03883456,0.0035108192511013
0.03944135,0.0042644053303964
0.040048139999999996,0.0031609399999999
0.04065493,0.0051256465638766
0.041261719999999995,0.0042913191189427
0.04186851,0.003268595154185
0.042475299999999994,0.0031878537885462
0.043082089999999996,0.0039145260792951
0.04368888,0.00359156061674
0.044295669999999995,0.0039414398678414
0.04490246,0.0043451466960352
0.045509249999999994,0.0039414398678414
0.04611604,0.0062291118942731
0.04672283,0.0038876122907488
0.047329619999999996,0.0057715774889867
0.04793641,0.0045604570044052
0.048543199999999995,0.0046142845814977
0.04914999,0.0043720604845814
0.049756779999999994,0.0050449051982378
0.050363569999999996,0.0041029225991189
0.05097036,0.0048026811013215
0.051577149999999995,0.0032416813656387
0.05218394,0.0063636808370044
0.052790729999999994,0.0044797156387665
0.05339752,0.003268595154185
0.05400430999999999,0.0057446637004405
0.054611099999999996,0.0044528018502202
0.05521789,0.00337625030837
0.055824679999999995,0.0046950259471365
0.05643147,0.0047219397356828
0.05703825999999999,0.0062291118942731
0.057645049999999996,0.005690836123348
0.05825184,0.0050987327753303
0.058858629999999995,0.0047219397356828
0.05946542,0.0024880952863436
0.060072209999999994,0.0047757673127753
0.060679,0.0051525603524229
0.06128578999999999,0.0035108192511013
0.061892579999999996,0.0047757673127753
0.06249937,0.0037261295594713
0.06310616,0.0048295948898678
0.06371294999999999,0.0037799571365638
0.06431974,0.0038337847136563
0.06492653,0.0056639223348017
0.06553331999999999,0.0048295948898678
0.06614011,0.0039683536563876
0.0667469,0.0035108192511013
0.06735369,0.003483905462555
0.06796047999999999,0.0038876122907488
0.06856727,0.0054755258149779
0.06917406,0.0041567501762114
0.06978084999999999,0.003483905462555
0.07038764,0.0043182329074889
0.07099443,0.0044797156387665
0.07160122,0.004641198370044
0.07220800999999999,0.0042644053303964
0.0728148,0.0032955089427312
0.07342159,0.0042374915418502
0.07402837999999999,0.0031609399999999
0.07463517,0.0040490950220264
0.07524196,0.0046681121585903
0.07584874999999999,0.0036992157709251
0.07645553999999999,0.0052333017180616
0.07706233,0.0055562671806167
0.07766912,0.0041836639647577
0.07827590999999999,0.0038606985022026
0.0788827,0.0031340262114537
0.07948949,0.0044528018502202
0.08009627999999999,0.0043451466960352
0.08070306999999999,0.0048295948898678
0.08130986,0.0041567501762114
0.08191665,0.0037530433480176
0.08252343999999999,0.0034569916740088
0.08313023,0.00359156061674
0.08373702,0.0046950259471365
0.08434380999999999,0.0028379745374449
0.08495059999999999,0.0032955089427312
0.08555739,0.0041029225991189
0.08616417999999999,0.0035108192511013
0.08677096999999999,0.0025419228634361
0.08737776,0.0037799571365638
0.08798455,0.0034569916740088
0.08859133999999999,0.0023804401321585
0.08919812999999999,0.0048026811013215
0.08980492,0.0027303193832599
0.09041170999999999,0.0039952674449339
0.09101849999999999,0.0030263710572687
0.09162529,0.0044797156387665
0.09223208,0.0040221812334801
0.09283886999999999,0.0035646468281938
0.09344566,0.0047757673127753
0.09405245,0.0035646468281938
0.09465923999999999,0.0024073539207048
0.09526602999999999,0.0045066294273127
0.09587282,0.0031071124229074
0.09647961,0.0040490950220264
0.09708639999999999,0.0024611814977973
0.09769319,0.0041029225991189
0.09829998,0.0039414398678414
0.09890676999999999,0.0036184744052863
0.09951355999999999,0.0039952674449339
0.10012035,0.0024073539207048
0.10072713999999999,0.0028918021145374
0.10133392999999999,0.0041298363876651
0.10194072,0.0044797156387665
0.10254751,0.0029725434801762
0.10315429999999999,0.0036723019823788
0.10376108999999999,0.0048026811013215
0.10436788,0.0034300778854625
0.10497466999999999,0.0029187159030836
0.10558145999999999,0.0034031640969163
0.10618825,0.0043989742731277
0.10679504,0.0020574746696035
0.10740182999999999,0.0025688366519823
0.10800861999999999,0.0042105777533039
0.10861541,0.0029187159030836
0.10922219999999999,0.0026226642290748
0.10982898999999999,0.0035646468281938
0.11043578,0.0048026811013215
0.11104257,0.0029456296916299
0.11164935999999999,0.0034569916740088
0.11225614999999999,0.0025957504405286
0.11286294,0.0034569916740088
0.11346972999999999,0.0002542508370044
0.11407651999999999,0.0031340262114537
0.11468331,0.0036453881938325
0.11529009999999999,0.0049910776211453
0.11589688999999999,0.0035646468281938
0.11650368,0.0037530433480176
0.11711047,0.0031609399999999
0.11771725999999999,0.0024880952863436
0.11832404999999999,0.002326612555066
0.11893084,0.0048026811013215
0.11953762999999999,0.0043720604845814
