Time (us),fs,dt,Sensor 1 - X,Sensor 2 - X,Sensor 3 - X,Sensor 4 - X,Sensor 1 - Y,Sensor 2 - Y,Sensor 3 - Y,Sensor 4 - Y
0.0,927,1079.0,11.348387549999998,18.41353155,2.320703549999998,-6.510726450000003,,,,
0.001079,927,1079.0,11.152133549999999,9.091466549999998,0.06378254999999777,-7.7863774500000025,,,,
0.002158,927,1079.0,0.26003654999999776,-0.23059845000000226,-5.235075450000003,-2.4875194500000024,,,,
0.003237,927,1079.0,-8.767647450000002,-12.987108450000003,-6.216345450000003,2.811338549999998,,,,
0.004316,927,1079.0,-13.673997450000003,-21.524157450000004,-8.865774450000004,6.245783549999998,,,,
0.005395,927,1079.0,-17.500950450000005,-22.112919450000003,-12.987108450000003,3.694481549999998,,,,
0.006474,927,1079.0,-10.239552450000003,-21.033522450000003,-14.655267450000004,-6.0200914500000025,,,,
0.007553,927,1079.0,-5.529456450000002,-11.613330450000003,-21.524157450000004,-15.145902450000003,,,,
0.008632,927,1079.0,1.6338145499999979,-7.688250450000003,-23.290443450000005,-22.701681450000002,,,,
0.009711,927,1079.0,4.283243549999998,-6.6088534500000025,-23.388570450000003,-22.112919450000003,,,,
0.01079,927,1079.0,-2.3893924500000026,-8.277012450000003,-19.561617450000004,-14.262759450000003,,,,
0.011869,927,1079.0,-5.333202450000003,-16.127172450000003,-10.533933450000003,-2.3893924500000026,,,,
0.012948,927,1079.0,-12.594600450000003,-16.617807450000004,-5.627583450000002,9.778355549999999,,,,
0.014027,927,1079.0,-11.711457450000003,-16.519680450000003,2.026322549999998,12.820292549999998,,,,
0.015106,927,1079.0,-7.099488450000003,-8.473266450000002,4.479497549999998,9.778355549999999,,,,
0.016185,927,1079.0,-1.1137414500000022,4.283243549999998,5.264513549999998,2.124449549999998,,,,
0.017264,927,1079.0,10.857752549999999,13.01654655,8.110196549999998,-4.253805450000002,,,,
0.018343,927,1079.0,13.605308549999998,21.84797655,9.091466549999998,-2.9781544500000026,,,,
0.019422,927,1079.0,14.684705549999999,21.45546855,16.54911855,2.713211549999998,,,,
0.020501,927,1079.0,9.483974549999997,17.922896549999997,21.06296055,13.703435549999998,,,,
0.02158,927,1079.0,0.9469255499999978,12.035276549999999,24.39927855,22.436738549999998,,,,
0.022659,927,1079.0,-0.9174874500000023,4.577624549999998,26.36181855,25.08616755,,,,
0.023738,927,1079.0,-4.548186450000003,6.736418549999998,21.94610355,21.45546855,,,,
0.024817,927,1079.0,1.5356875499999978,8.698958549999999,19.39480155,10.955879549999999,,,,
0.025896,927,1079.0,8.012069549999998,15.567848549999999,12.035276549999999,2.026322549999998,,,,
0.026975,927,1079.0,11.642768549999998,18.90416655,6.245783549999998,-5.333202450000003,,,,
0.028054,927,1079.0,13.409054549999999,13.801562549999998,2.909465549999998,-7.491996450000003,,,,
0.029133,927,1079.0,3.694481549999998,6.540164549999998,-2.4875194500000024,-3.7631704500000023,,,,
0.030212,927,1079.0,-3.4687894500000023,-8.080758450000003,-3.1744084500000023,0.7506715499999979,,,,
0.031291,927,1079.0,-12.005838450000002,-17.500950450000005,-7.884504450000002,5.657021549999998,,,,
0.03237,927,1079.0,-16.421553450000005,-22.701681450000002,-10.337679450000003,3.988862549999998,,,,
0.033449,927,1079.0,-12.103965450000002,-22.701681450000002,-13.183362450000002,-2.9781544500000026,,,,
0.034528,927,1079.0,-8.571393450000002,-14.262759450000003,-19.757871450000003,-11.809584450000003,,,,
0.035607,927,1079.0,0.7506715499999979,-10.632060450000003,-22.014792450000005,-20.935395450000005,,,,
0.036686,927,1079.0,3.007592549999998,-6.412599450000003,-25.252983450000002,-23.388570450000003,,,,
0.037765,927,1079.0,-0.13247145000000224,-8.669520450000002,-22.309173450000003,-19.855998450000005,,,,
0.038844,927,1079.0,-3.6650434500000024,-15.440283450000003,-16.323426450000003,-9.454536450000003,,,,
0.039923,927,1079.0,-12.005838450000002,-17.599077450000003,-11.220822450000004,3.105719549999998,,,,
0.041002,927,1079.0,-11.907711450000003,-20.542887450000002,-2.5856464500000023,9.091466549999998,,,,
0.042081,927,1079.0,-11.024568450000002,-13.085235450000003,-0.03434445000000223,9.483974549999997,,,,
0.04316,927,1079.0,-4.450059450000002,-3.4687894500000023,2.909465549999998,2.516957549999998,,,,
0.044239,927,1079.0,6.540164549999998,7.227053549999998,3.988862549999998,-4.450059450000002,,,,
0.045318,927,1079.0,10.66149855,17.530388549999998,4.970132549999998,-6.510726450000003,,,,
0.046397,927,1079.0,14.979086549999998,18.90416655,12.035276549999999,-3.2725354500000026,,,,
0.047476,927,1079.0,9.974609549999998,19.19854755,16.254737549999998,7.815815549999998,,,,
0.048555,927,1079.0,4.283243549999998,12.91841955,22.33861155,17.726642549999998,,,,
0.049634,927,1079.0,0.26003654999999776,6.638291549999998,24.98804055,23.90864355,,,,
0.050713,927,1079.0,-4.842567450000002,6.638291549999998,23.22175455,22.92737355,,,,
0.051792,927,1079.0,0.3581635499999978,6.834545549999998,21.74984955,14.29219755,,,,
0.052871,927,1079.0,4.773878549999998,14.586578549999999,14.19407055,5.558894549999998,,,,
0.05395,927,1079.0,11.250260549999998,18.21727755,9.974609549999998,-3.5669164500000026,,,,
0.055029,927,1079.0,14.19407055,17.62851555,5.460767549999998,-7.001361450000003,,,,
0.056108,927,1079.0,7.423307549999998,12.525911549999998,1.0450525499999979,-5.038821450000002,,,,
0.057187,927,1079.0,1.9281955499999979,-2.0950114500000026,-0.23059845000000226,-0.8193604500000022,,,,
