Time (us),fs,dt,Sensor 1 - X,Sensor 2 - X,Sensor 3 - X,Sensor 4 - X,Sensor 1 - Y,Sensor 2 - Y,Sensor 3 - Y,Sensor 4 - Y
0.0,927,1079.0,3.203846549999998,-1.1137414500000022,-4.940694450000002,17.530388549999998,,,,
0.001079,927,1079.0,1.0450525499999979,4.479497549999998,9.778355549999999,-1.8006304500000023,,,,
0.002158,927,1079.0,-3.6650434500000024,14.979086549999998,10.66149855,-4.057551450000003,,,,
0.003237,927,1079.0,7.325180549999998,20.57232555,-1.1137414500000022,10.955879549999999,,,,
0.004316,927,1079.0,18.21727755,11.054006549999999,10.268990549999998,18.90416655,,,,
0.005395,927,1079.0,1.0450525499999979,20.17981755,20.277944549999997,16.94162655,,,,
0.006474,927,1079.0,-5.136948450000003,7.0307995499999985,27.44121555,14.19407055,,,,
0.007553,927,1079.0,3.694481549999998,9.189593549999998,13.507181549999999,23.81051655,,,,
0.008632,927,1079.0,14.488451549999999,10.955879549999999,5.755148549999998,24.30115155,,,,
0.009711,927,1079.0,15.862229549999999,6.540164549999998,17.13788055,3.007592549999998,,,,
0.01079,927,1079.0,-3.4687894500000023,17.334134549999998,10.563371549999998,-12.398346450000004,,,,
0.011869,927,1079.0,6.932672549999999,4.577624549999998,3.105719549999998,-9.356409450000003,,,,
0.012948,927,1079.0,14.390324549999999,6.049529549999998,-11.907711450000003,6.638291549999998,,,,
0.014027,927,1079.0,-2.8800274500000023,-1.1137414500000022,-4.842567450000002,-4.646313450000003,,,,
0.015106,927,1079.0,-16.421553450000005,-14.360886450000002,6.245783549999998,-13.673997450000003,,,,
0.016185,927,1079.0,-24.664221450000003,-15.145902450000003,-9.552663450000002,3.498227549999998,,,,
0.017264,927,1079.0,-5.627583450000002,-24.369840450000005,-20.641014450000004,9.287720549999998,,,,
0.018343,927,1079.0,-8.669520450000002,-17.206569450000003,-27.902412450000003,-4.450059450000002,,,,
0.019422,927,1079.0,-19.561617450000004,-10.828314450000002,-15.145902450000003,-17.30469645,,,,
0.020501,927,1079.0,-3.8612974500000026,-15.734664450000004,-15.538410450000002,-18.285966450000004,,,,
0.02158,927,1079.0,6.736418549999998,-2.7819004500000024,-25.056729450000002,-1.0156144500000024,,,,
0.022659,927,1079.0,16.450991549999998,-15.244029450000003,-12.496473450000003,-10.239552450000003,,,,
0.023738,927,1079.0,-2.0950114500000026,-9.847044450000002,-1.8006304500000023,-16.421553450000005,,,,
0.024817,927,1079.0,-10.730187450000003,-14.949648450000003,4.773878549999998,-3.8612974500000026,,,,
0.025896,927,1079.0,5.951402549999998,-20.641014450000004,-2.8800274500000023,11.152133549999999,,,,
0.026975,927,1079.0,0.5544175499999978,-2.9781544500000026,-6.0200914500000025,13.409054549999999,,,,
0.028054,927,1079.0,2.713211549999998,-0.42685245000000227,8.993339549999998,-5.235075450000003,,,,
0.029133,927,1079.0,-8.080758450000003,12.427784549999998,8.895212549999998,-6.510726450000003,,,,
0.030212,927,1079.0,5.951402549999998,16.647245549999997,2.222576549999998,8.502704549999999,,,,
0.031291,927,1079.0,15.862229549999999,14.782832549999998,7.128926549999998,15.37159455,,,,
0.03237,927,1079.0,-2.6837734500000026,22.14235755,16.54911855,8.993339549999998,,,,
0.033449,927,1079.0,-6.510726450000003,6.736418549999998,24.69365955,9.876482549999999,,,,
0.034528,927,1079.0,-3.9594244500000024,13.11467355,10.955879549999999,20.76857955,,,,
0.035607,927,1079.0,9.974609549999998,8.110196549999998,10.563371549999998,23.712389549999997,,,,
0.036686,927,1079.0,8.502704549999999,8.012069549999998,19.98356355,3.792608549999998,,,,
0.037765,927,1079.0,-7.1976154500000025,17.726642549999998,18.51165855,-11.613330450000003,,,,
0.038844,927,1079.0,7.521434549999999,7.0307995499999985,9.876482549999999,-8.473266450000002,,,,
0.039923,927,1079.0,15.46972155,14.782832549999998,-7.001361450000003,5.264513549999998,,,,
0.041002,927,1079.0,5.068259549999998,4.577624549999998,1.2413065499999978,-7.295742450000002,,,,
0.042081,927,1079.0,-10.141425450000003,-7.099488450000003,7.227053549999998,-12.005838450000002,,,,
0.04316,927,1079.0,-17.010315450000004,-10.926441450000002,-9.062028450000003,5.264513549999998,,,,
0.044239,927,1079.0,1.3394335499999979,-21.524157450000004,-19.855998450000005,14.09594355,,,,
0.045318,927,1079.0,-8.767647450000002,-16.127172450000003,-26.626761450000004,-0.03434445000000223,,,,
0.046397,927,1079.0,-17.991585450000002,-18.972855450000004,-12.103965450000002,-14.459013450000002,,,,
0.047476,927,1079.0,-5.921964450000003,-15.930918450000004,-17.795331450000003,-14.557140450000004,,,,
0.048555,927,1079.0,5.068259549999998,-7.982631450000003,-26.234253450000004,-4.155678450000003,,,,
0.049634,927,1079.0,12.525911549999998,-18.089712450000004,-17.893458450000004,-13.575870450000004,,,,
0.050713,927,1079.0,-5.823837450000003,-9.356409450000003,-10.043298450000004,-20.641014450000004,,,,
0.051792,927,1079.0,-10.337679450000003,-18.187839450000002,-0.5249794500000022,-9.748917450000002,,,,
0.052871,927,1079.0,3.890735549999998,-20.444760450000004,-10.926441450000002,7.0307995499999985,,,,
0.05395,927,1079.0,-0.8193604500000022,-10.632060450000003,-8.277012450000003,8.012069549999998,,,,
0.055029,927,1079.0,-1.6043764500000024,-7.688250450000003,7.423307549999998,-8.865774450000004,,,,
0.056108,927,1079.0,-12.300219450000004,7.227053549999998,7.6195615499999985,-8.178885450000003,,,,
0.057187,927,1079.0,4.086989549999998,10.955879549999999,5.460767549999998,4.185116549999998,,,,
